regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"Ingrédients 2 cuillères à soupe d' huile d'olive 1 cuillère à soupe d' huile de sésame 50 g de sucre roux 2 cuillères à soupe de vinaigre balsamique 250 g de tempeh 3 cuillères à soupe de sauce soja 1 tasse (5 cl) de jus de citron Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Set 3 poêles Notre sélection des meilleures poêles + de détails 1 planche à découper Top des meilleures planches à découper + de détails En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : Préparation : - Repos : - Cuisson : - Étape 1 Préparer la marinade en mélangeant tous les ingrédients ensemble (sauf le tempeh). Étape 2 Découper le tempeh en dès. Ajouter les morceaux dans la marinade. Étape 3 Laisser mariner 2h au frais. Étape 4 Verser la préparation dans une poêle et ajouter un peu d'eau. Laisser cuire 15 minutes. Étape 5 Retourner plusieurs fois le tempeh pendant la cuisson pour que chaque côté caramélise. M Marmiton_Recettes",1,1
"Ingrédients 1 cuillère à soupe de sésame 1 bonne pincée de sel 1 cuillère à café de sucre 1 cuillère à café de levure de boulanger sèche 2 cuillères à soupe d' huile d'olive 150 g de farine 9 cl de lait d'avoine pour la garniture poivre sel 3 cuillères à soupe d' huile d'olive 0.5 chou-fleur 20 g de chou rouge 8 feuilles de laitue Pour la sauce 1 pincée de piment facultatif 1 cuillère à café rase de curry doux 3 cuillères à soupe de crème de coco Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 saladier Les meilleures ventes Acheter 1 Couteau Top des meilleurs couteaux de cuisine + de détails 1 Four Top des meilleurs fours + de détails 1 Top des meilleures plaques à four plaque à four + de détails 1 papier sulfurisé papier sulfurisé + de détails 1 Top des meilleures plaques a four Plaque à four + de détails 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 4h30 Préparation : 40 min Repos : 2h10 Cuisson : 1h40 Étape 1 Commencer par préparer les buns : mettre la levure dans le lait légèrement tiédi pendant 10 minutes. Étape 2 Dans un saladier, mélanger la farine avec le sel et le sucre. Creuser un puits au centre et y verser le lait avec la levure et l'huile. Mélanger et pétrir jusqu'à obtention d'une pâte homogène. Étape 3 Mettre en boule, recouvrir d'un torchon et laisser pousser 2h à température ambiante (dans une pièce chaude ou près d'un radiateur s'il fait froid). Étape 4 Dégazer la pâte en enfonçant le poing dedans puis pétrir la pâte sur un plan de travail fariné. La partager en 4 morceaux égaux, en faire des boules et les aplatir légèrement. Étape 5 Les laisser pousser à nouveau, recouverts d'un torchon pendant 40 minutes. Étape 6 Préchauffer le four à 200°C (thermostat 6-7). Disposer les boules sur une plaque recouverte de papier cuisson. Les humidifier légèrement avec du lait végétal ou de l'eau et saupoudrer de graines de sésame. Faire une croix sur le dessus des buns avec un couteau si vous le souhaitez. Enfourner pour 20 minutes de cuisson et laisser refroidir sur une grille à la sortie du four. Étape 7 Pour la garniture : détailler le chou-fleur en tranches d'environ 5 mm d'épaisseur. Les répartir sur une plaque à four recouverte de papier cuisson. Huiler et saupoudrer de sel. Étape 8 Enfourner à 200°C (thermostat 6-7) pour 35 à 40 minutes de cuisson. Étape 9 Détailler le chou-rouge en lamelles. Assaisonner ainsi que la laitue de l'huile restante, de sel et de poivre. Étape 10 Préparer la sauce en mélangeant tous les ingrédients. Ajouter un peu d'eau si la sauce est trop épaisse. Étape 11 Monter les burgers : couper en 2 les buns. Disposer un peu de sauce sur les fonds puis le mélange laitue-chou-rouge. Recouvrir de chou-fleur rôti puis du reste de la sauce. Fermer les burgers et déguster. M Marmiton_Recettes",1,1
"Ingrédients 6 poivrons de couleurs différentes 1 gousse d'ail 2 cuillère(s) à soupe d'huile d'olive 1 cuillère(s) à café de cumin en poudre 1 cuillère(s) à café de harissa 2 cuillère(s) à soupe de miel liquide 1 cuillère(s) à soupe de jus de citron 4 cuillère(s) à soupe de bouillon de légumes en poudre 4 tiges d'origan effeuillées 4 grandes tranches de pain grillé sel et poivre Préparation Rincez et coupez les poivrons en deux. Enlevez les graines et les pédoncules, et détaillez-les en lanières. Pelez et hachez l’ail. Faites chauffer à feu moyen l’huile d’olive dans une grande poêle. Ajoutez les poivrons et faites-les revenir une douzaine de minutes tout en remuant régulièrement, jusqu’à ce qu’ils ramollissent et dorent. Ajoutez l’ail, le cumin, la harissa, le miel, le jus de citron, le bouillon de légumes et l’origan. Salez, poivrez et remuez bien le tout. Prolongez la cuisson jusqu’à ce que les poivrons soient enrobés d’une sauce épaisse. Servez sans attendre sur le pain grillé.",1,1
"Ingrédients 3 cuillères à soupe d' huile 1 butternut Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 friteuse + de détails 1 Four top des meilleurs fours + de détails 1 couteau Top 3 des couteaux + de détails 1 économe Top 5 des meilleurs économe + de détails 1 saladier Les meilleures ventes Acheter 1 Cuillère en bois Les meilleures ventes Acheter Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 50 min Préparation : 5 min Repos : - Cuisson : 45 min Étape 1 Préchauffer le four à 210°C (thermostat 7). Étape 2 Vider la courge et la peler (c'est l'étape la plus difficile; personnellement je la débite en plusieurs morceaux avant de l'éplucher avec un couteau bien aiguisé). Étape 3 Couper des petits tronçons (style mini-frites). Étape 4 Mettre les bâtonnets de courge dans un saladier, verser les 3 cuillères d'huile. Ajouter du sel, du poivre et du paprika doux pour obtenir un aspect proche des potatoes. Étape 5 Bien mélanger. Étape 6 Cuire les frites 45 minutes sur une lèche-frites, en les retournant régulièrement. l lapinette34",1,1
"Ingrédients Pour les crudités : 1 carotte 1 avocat 1 endive 0.25 chou rouge 1 échalote douce Pour la sauce : 1 pincée de poivre 1 pincée de sel 1.5 cuillère à soupe d' huile de de noisette 1.5 cuillère à soupe d' huile de sésame 1 cuillère à soupe de vinaigre de vin rouge 1 cuillère à café de moutarde à l'ancienne Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Râpe Top des meilleures râpes + de détails 1 couteau Top 3 des couteaux + de détails 1 paire de ciseaux Les meilleurs ciseaux de cuisine + de détails 1 Cuillère en bois Les meilleures ventes Acheter En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 15 min Préparation : 15 min Repos : - Cuisson : - Étape 1 Râper les carottes, couper le chou rouge en très fines lamelles. Étape 2 Couper l'endive et couper l'avocat en cube et ciseler l'échalote. Étape 3 Pour la sauce, mélanger la moutarde et le vinaigre, ajouter petit à petit l'huile jusqu'à obtenir une sauce bien homogène. Étape 4 Ajouter le sel et poivre. Étape 5 Mélanger le tout et savourer cette salade fraiche, colorée, pleine de vitamines ! m mia_17375229",1,1
"Ingrédients 250 g de petits pois 200 g de pois gourmands 200 g d'edamame 500 g d'asperges vertes 200 g de tofu fumé (facultatif) 2 avocats 1 citron 100 g de pousses d'épinards 5 g de graines de sésame 2 cuillère(s) à soupe d'huile de sésame Pour la sauce 1 avocat 1 petit piment vert 10 cl de lait de coco 2 cuillère(s) à soupe de sauce soja 1 cuillère(s) à soupe de jus de citron 1 bouquet d'herbes fraîches (estragon, coriandre persil plat) Préparation Faites cuire 10 mn les petits pois dans un grand volume d’eau salée. 5 mn avant la fin de la cuisson, ajoutez les edamame, puis égouttez le tout, passez-les sous l’eau très froide afin de conserver leur jolie couleur verte. Coupez les pieds des asperges, puis les têtes à 6-7 cm et tranchez le restant en petits tronçons. Dans une sauteuse, faites chauffer les asperges et les pois gourmands dans l’huile de sésame bien chaude environ 8 mn jusqu’à ce qu’ils soient dorés et croquants, débarrassez les légumes. Coupez le tofu en petits cubes, puis faites-le dorer dans la même poêle. Pelez et coupez les avocats en petits cubes. Pressez le citron et arrosez les dés d’avocat pour éviter qu’ils ne s’oxydent. Dans un saladier, mélangez les légumes, ajoutez les pousses d’épinards et les dés de tofu. Parsemez de graines de sésame. Préparez la sauce verte : dans le bol d’un mixeur, mettez l’avocat pelé et coupés en cubes ainsi que le piment épépiné (selon votre goût), puis ajoutez le lait de coco, la sauce soja et le jus de citron, mixez pour obtenir une texture bien lisse. Ajoutez ensuite votre bouquet d’herbes fraîches effeuillées et mixez à nouveau. Ajustez l’assaisonnement en sel et en poivre. Servez la salade avec la sauce.",1,1
"Ingrédients 300 g de carottes 2 oignons 350 g de lentilles corail coriandre moulue curcuma moulu cumin moulu gingembre moulu noix de muscade moulue 500 g de tomates pelées en conserve bouillon de légumes feuilles de coriandre sel, poivre du moulin huile d'olive graines de sésame feuilles de cerfeuil Préparation Pelez les carottes et coupez-les en rondelles. Pelez et émincez les oignons. Rincez les lentilles corail. Versez dans une casserole 2 cuil. à soupe d’huile d’olive, ajoutez les oignons et faites cuire 5 mn à feu moyen, jusqu’à ce qu’ils soient translucides. Ajoutez les carottes, 1 cuil. à café de coriandre, 1 cuil. à soupe de curcuma, 1 cuil. à soupe de cumin, 2 cuil. à café de gingembre et 1 cuil. à café de noix de muscade. Poursuivez la cuisson pendant 5 mn. Incorporez les lentilles corail, les tomates pelées avec leur jus et 1,6 l de bouillon. Portez à ébullition, baissez le feu, puis laissez mijoter 20 mn à feu doux. Ajoutez quelques feuilles de coriandre et mélangez. Versez la préparation dans le bol d’un blender puis mixez jusqu’à obtenir une texture lisse et homogène. Salez, poivrez. Versez la soupe dans des bols, saupoudrez de graines de sésame et de feuilles de cerfeuil.",1,1
"Ingrédients gousse de vanille en moulin (à volonté) 6 cuillères à soupe de miel liquide 1 poignée de noix (au choix amandes, noix, noisettes, personnellement j’opte pour des noix du Brésil) 250 g d' avoine 40 g de noix de coco 5 cl d' eau 3 cuillères à café d' huile de coco Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Four Top des meilleurs fours + de détails 1 casserole Top 3 des batteries de casseroles + de détails 1 Rouleau à pâtisserie Top des meilleurs rouleaux à pâtisserie + de détails 1 saladier Les meilleures ventes Acheter 1 Cuillère en bois Les meilleures ventes Acheter 1 Top des meilleurs papiers sulfurisés Papier sulfurisé + de détails 1 Couvercle Les meilleures ventes Acheter Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 30 min Préparation : 10 min Repos : - Cuisson : 20 min Étape 1 Sortir la plaque du four et préchauffer le four à 150°C (thermostat 5). Étape 2 Pendant ce temps, faire fondre l’huile de coco dans une petite casserole avec l’eau, le miel et quelques tours de moulin à vanille. Étape 3 Casser les noix en gros morceaux en les mettant dans un petit sac congélation et en les écrasant légèrement avec un rouleau à pâtisserie. Les verser avec les flocons d’avoine dans un saladier. Étape 4 Verser le mélange miel/eau sur la préparation flocons d’avoine/noix et bien mélanger. Laisser le mélange reposer quelques minutes afin que les flocons d’avoines gonflent. Étape 5 Couvrir la plaque du four de papier sulfurisé et y étaler la préparation de manière uniforme sur toute la surface. Étape 6 Enfourner à mi-hauteur pour 20 min et sortir la plaque du four lorsque tous les flocons ont pris une couleur dorée (au bout de 5 min environ) et les mélanger pour les répartir de nouveau sur toute la plaque. Cela permet aux flocons de cuire de façon homogène. Étape 7 Renouveler l’opération et mélanger de nouveau une fois avant la fin de la cuisson. Étape 8 Sortir le granola du four et le laisser refroidir. Conserver dans un bocal étanche ou bien une boîte plastique hermétique. Étape 9 A déguster avec du lait ou du yaourt et agrémenté de fruits de saison. e emmy_16549257",1,1
"Ingrédients 2 cuillères à soupe d' huile d'olive 3 carottes 200 g de chou rouge 1 pomme de type fuji 1 cuillère à soupe de jus de citron sel et poivre ciboulette Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 bol Top des saladiers + de détails 1 dénoyauteur Les meilleures ventes Acheter En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 20 min Préparation : 20 min Repos : - Cuisson : - Étape 1 Hacher le chou en fines lamelles. Étape 2 Éplucher les carottes et la pomme. Les râper finement. Étape 3 Mélanger le chou rouge, les carottes et la pomme ensemble. Hacher la ciboulette et en parsemer les crudités. Étape 4 Dans un bol, mélanger l'huile d'olive et le jus de citron, saler et poivrer. Servir à côté de la salade pour assaisonner. M Marmiton_Recettes",1,1
