regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"Let’s go en cuisine pour préparer ces glaces à l’eau! Imprimer Épingler la recette 5 de 2 votes Glaces à l’eau De délicieuses glaces dont on peut varier les parfums à l'infini! Temps de préparation5 minutes min Temps de congélation6 heures h Type de plat: Glaces, Goûter Mots-clés: glaces, sirop Portions: 6 Matériel nécessaireMoules à glaces Ingrédients 1 dose de sirop 5 doses d'eau InstructionsMesurer une dose de sirop dans un des moules (selon le sirop utilisé, il en faudra peut-être un peu moins) et la verser dans un pichet.Mesurer 5 doses d'eau, toujours avec un moule comme mesure, et la verser dans le pichet.Bien mélanger et remplir les moules.Laisser prendre au congélateur 4 à 6h.Pour les démouler, chauffer un peu le moule entre ses mains (ou le passer sous un filet d'eau chaude) et tirer sur la base en maintenant le bâtonnet.Notes:La dose de sirop peut varier en fonction de la concentration de celui-ci (référez-vous au dosage donné au dos des bouteilles, ce qui est valable pour une verre de sirop à l'eau le sera pour les glaces 😉) mais aussi et surtout de vos goûts!",1,1
"Ingrédients : Pour 2 personnes 3 tranches d’ananas frais ou en boîte 2 Kiwis 4 fraises Ciflorettes 1/2 mangue QS de framboises Feuilles de menthe (du jardin pour moi) pour la décoration finale. Préparation du mille-feuille Préparation : 35 mn . • Lavez les fraises. • Épluchez les Kiwis. • Épluchez la moitié de la mangue • Découpez délicatement chaque fruit en tranches fines à l’aide d’une mandoline (attention les doigts). • Faites en sorte qu’ils soient tous de la même largeur • Réservez. Montagne du mille-feuille. • Sur un plat ou sur une assiette, • Déposez 5 morceaux d’ananas les uns à côté des autres. • Placez ensuite des moitiés de tranches de kiwis sur le dessus. • Recouvrez par des tranches de mangues. • Ajoutez les fraises tranchées. • De nouveau des tranches de kiwis. • Terminez par des tranches de mangues. • Puis pour la finition disposez de jolies framboises. • Un très joli visuel mille-feuille sur l’assiette et un dessert rafraichissant. • C’est une présentation que j’ai vue quelque part mais je ne me souviens plus du tout où. .",1,1
"Ingrédients 1 cuillère à soupe de sésame 1 bonne pincée de sel 1 cuillère à café de sucre 1 cuillère à café de levure de boulanger sèche 2 cuillères à soupe d' huile d'olive 150 g de farine 9 cl de lait d'avoine pour la garniture poivre sel 3 cuillères à soupe d' huile d'olive 0.5 chou-fleur 20 g de chou rouge 8 feuilles de laitue Pour la sauce 1 pincée de piment facultatif 1 cuillère à café rase de curry doux 3 cuillères à soupe de crème de coco Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 saladier Les meilleures ventes Acheter 1 Couteau Top des meilleurs couteaux de cuisine + de détails 1 Four Top des meilleurs fours + de détails 1 Top des meilleures plaques à four plaque à four + de détails 1 papier sulfurisé papier sulfurisé + de détails 1 Top des meilleures plaques a four Plaque à four + de détails 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 4h30 Préparation : 40 min Repos : 2h10 Cuisson : 1h40 Étape 1 Commencer par préparer les buns : mettre la levure dans le lait légèrement tiédi pendant 10 minutes. Étape 2 Dans un saladier, mélanger la farine avec le sel et le sucre. Creuser un puits au centre et y verser le lait avec la levure et l'huile. Mélanger et pétrir jusqu'à obtention d'une pâte homogène. Étape 3 Mettre en boule, recouvrir d'un torchon et laisser pousser 2h à température ambiante (dans une pièce chaude ou près d'un radiateur s'il fait froid). Étape 4 Dégazer la pâte en enfonçant le poing dedans puis pétrir la pâte sur un plan de travail fariné. La partager en 4 morceaux égaux, en faire des boules et les aplatir légèrement. Étape 5 Les laisser pousser à nouveau, recouverts d'un torchon pendant 40 minutes. Étape 6 Préchauffer le four à 200°C (thermostat 6-7). Disposer les boules sur une plaque recouverte de papier cuisson. Les humidifier légèrement avec du lait végétal ou de l'eau et saupoudrer de graines de sésame. Faire une croix sur le dessus des buns avec un couteau si vous le souhaitez. Enfourner pour 20 minutes de cuisson et laisser refroidir sur une grille à la sortie du four. Étape 7 Pour la garniture : détailler le chou-fleur en tranches d'environ 5 mm d'épaisseur. Les répartir sur une plaque à four recouverte de papier cuisson. Huiler et saupoudrer de sel. Étape 8 Enfourner à 200°C (thermostat 6-7) pour 35 à 40 minutes de cuisson. Étape 9 Détailler le chou-rouge en lamelles. Assaisonner ainsi que la laitue de l'huile restante, de sel et de poivre. Étape 10 Préparer la sauce en mélangeant tous les ingrédients. Ajouter un peu d'eau si la sauce est trop épaisse. Étape 11 Monter les burgers : couper en 2 les buns. Disposer un peu de sauce sur les fonds puis le mélange laitue-chou-rouge. Recouvrir de chou-fleur rôti puis du reste de la sauce. Fermer les burgers et déguster. M Marmiton_Recettes",1,1
"Ingrédients Pour la base 80 g de flocons d'avoine sans gluten 160 g de dattes medjool 80 g de coco râpée 1/4 cuillère(s) à café de vanille en poudre Pour le chocolat blanc 60 g d'huile de coco liquide 80 g de beurre de noix de cajou 30 g de beurre de cacao 1 + 1/2 cuillère(s) à soupe de sirop d'érable 1 pincée de sel Pour la décoration 1 bonne poignée de chips de coco 40 g de coco râpée 1/4 cuillère(s) à café de vanille en poudre oeufs de pâques en sucre Préparation Pour la base, mixez tous les ingrédients avec 1 pincée de sel pendant 40-50 s. Prenez un peu de la préparation dans votre main et faites une boule avec. Déposez la boule sur du papier sulfurisé et appuyez délicatement à l’aide de votre pouce sur le milieu de la boule afin de créer un espace creux au centre. Recommencez jusqu’à épuisement de la pâte. Placez au congélateur au moins 1 h. Dans une poêle, faites griller les chips de coco jusqu’à ce qu’elles deviennent légèrement dorées. Faites fondre le beurre de cacao au bain-marie, sur feu doux de préférence. Dans un bol de taille moyenne (type bol de petit-déjeuner), mélangez le beurre de cacao liquide avec le reste des ingrédients jusqu’à ce que vous obteniez un chocolat lisse et crémeux. Sortez les nids du congélateur et trempez-les deux fois dans le chocolat blanc. Déposez-les sur une petite grille, puis procédez à la décoration. Collez les chips de coco sur les nids en trempant une partie de la chips dans le chocolat avant de la déposer sur le nid. Procédez ainsi jusqu’à ce que le contour des nids soit entièrement recouvert de chips de coco. Mélangez la coco râpée avec la vanille et saupoudrez-en les nids. Conservez-les au réfrigérateur et déposez des petits œufs de couleur en sucre au moment de servir.",1,1
"Ingrédients 160 g de graines de sarrasin 400 g de potimarron cru épluché 2 oignons blancs 2 cuillère(s) à soupe d'huile d'olive vierge extra 1 cube de bouillon de légumes 6 cl de lait de coco curry (à l'envi) cumin (à l'envi) sel, poivre Préparation Rincez les graines de sarrasin sous un filet d’eau froide. Pelez et coupez le potimarron en dés de taille moyenne, pelez et taillez les oignons en dés. Faites chauffer dans une poêle l’huile d’olive et faites-y dorer les oignons. Ajoutez les graines de sarrasin et faites-les sauter 1 mn en mélangeant bien, afin que chaque grain s’imprègne du reste d’huile issue de la cuisson des oignons. Diluez un cube de bouillon dans 300 ml d’eau chaude. Versez dans la poêle les dés de potimarron et le bouillon chaud. Assaisonnez de curry, de cumin et faites cuire à couvert pendant 15 mn à feu moyen (n’hésitez pas à ajouter davantage d’eau si les graines de sarrasin collent à la poêle). Versez, juste avant la fin de la cuisson, le lait de coco. Salez, poivrez et rectifiez l’assaisonnement en épices. Mélangez puis servez chaud.",1,1
"Ingrédients 6 poivrons de couleurs différentes 1 gousse d'ail 2 cuillère(s) à soupe d'huile d'olive 1 cuillère(s) à café de cumin en poudre 1 cuillère(s) à café de harissa 2 cuillère(s) à soupe de miel liquide 1 cuillère(s) à soupe de jus de citron 4 cuillère(s) à soupe de bouillon de légumes en poudre 4 tiges d'origan effeuillées 4 grandes tranches de pain grillé sel et poivre Préparation Rincez et coupez les poivrons en deux. Enlevez les graines et les pédoncules, et détaillez-les en lanières. Pelez et hachez l’ail. Faites chauffer à feu moyen l’huile d’olive dans une grande poêle. Ajoutez les poivrons et faites-les revenir une douzaine de minutes tout en remuant régulièrement, jusqu’à ce qu’ils ramollissent et dorent. Ajoutez l’ail, le cumin, la harissa, le miel, le jus de citron, le bouillon de légumes et l’origan. Salez, poivrez et remuez bien le tout. Prolongez la cuisson jusqu’à ce que les poivrons soient enrobés d’une sauce épaisse. Servez sans attendre sur le pain grillé.",1,1
"Ingrédients Pour les crudités : 1 carotte 1 avocat 1 endive 0.25 chou rouge 1 échalote douce Pour la sauce : 1 pincée de poivre 1 pincée de sel 1.5 cuillère à soupe d' huile de de noisette 1.5 cuillère à soupe d' huile de sésame 1 cuillère à soupe de vinaigre de vin rouge 1 cuillère à café de moutarde à l'ancienne Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Râpe Top des meilleures râpes + de détails 1 couteau Top 3 des couteaux + de détails 1 paire de ciseaux Les meilleurs ciseaux de cuisine + de détails 1 Cuillère en bois Les meilleures ventes Acheter En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 15 min Préparation : 15 min Repos : - Cuisson : - Étape 1 Râper les carottes, couper le chou rouge en très fines lamelles. Étape 2 Couper l'endive et couper l'avocat en cube et ciseler l'échalote. Étape 3 Pour la sauce, mélanger la moutarde et le vinaigre, ajouter petit à petit l'huile jusqu'à obtenir une sauce bien homogène. Étape 4 Ajouter le sel et poivre. Étape 5 Mélanger le tout et savourer cette salade fraiche, colorée, pleine de vitamines ! m mia_17375229",1,1
"Ingrédients Mélange chocolat 0.5 paquet de levure chimique 2 cuillères à dessert d' huile de tournesol 50 g de cacao amer 150 g de farine de blé 2 pots de yaourt de soja goût chocolat 50 g de muscovado 1 trait de jus de citron Mélange vanille 1 cuillère à café d' extrait de vanille liquide 0.5 paquet de levure chimique 2 cuillères à soupe d' huile de tournesol 150 g de farine de blé 2 pots de yaourt de soja goût vanille 50 g de muscovado Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Four Top des meilleurs fours + de détails 1 saladier Les meilleures ventes Acheter 1 Couteau Top des meilleurs couteaux de cuisine + de détails 1 Top des meilleures plaques à four plaque à four + de détails 1 Moule à cake Top des moules à cake 2022 + de détails 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1 h Préparation : 15 min Repos : - Cuisson : 45 min Étape 1 Verser les 2 yaourts de soja au chocolat dans un saladier. Étape 2 Ajouter 110 g de farine, le 1/2 paquet de levure chimique et cacao amer, 50 g de muscovado, 2 c. à soupe d'huile et le trait de jus de citron dans le saladier. Mélanger. Étape 3 Dans un nouveau saladier, ajouter les 2 yaourts de soja vanille, 110g de farine, 50 g de muscovado, le 1/2 paquet de levure chimique, 2 c. à soupe d'huile de tournesol, l'extrait de vanille liquide et mélanger. Étape 4 Préchauffer le four à 180C° / Th 6. Étape 5 Huiler un moule à cake avec de l'huile de tournesol ou de coco. Étape 6 Verser les deux préparations en alternance dans le moule, enfourner 15 mn. Étape 7 Avec la pointe d'un couteau, faire un trait dans la pâte. Étape 8 Enfourner encore 30 mn. Étape 9 Démouler et laisser refroidir sur une grille. M Marmiton_Recettes",1,1
"Ingrédients : Pour 4 personnes 360 g de spaghetti d’épeautre complet 125 g de lentilles vertes 1 oignon 1 gousse d’ail 250 g de champignons Shiitakés 1 branche de céleri 2 carottes 400 ml de sauce tomate 1 c a s de pesto de basilic 1 c à c d’herbes de Provence 2 c à s d’huile d’olive bio 250 cl de bouillon de légumes Préparation des spaghettis d’épeautre Préparation : 15 mn Cuisson : 30 mn . • Faites tremper les lentilles pendant 1h. • Hachez l’oignon • Épluchez les carottes et coupez les en petits dés. • Faites la même chose avec le céleri. • Faites chauffer l’huile d’olive dans un faitout . • Faites revenir les légumes coupés en dés. • Ajoutez ensuite les lentilles. • Couvrez avec le bouillon de légumes et laissez cuire 25mn • Ajoutez ensuite le coulis de tomates. • Mélangez le toute et vérifiez la cuisson des lentilles. • Si elles sont encore un peu al dente, poursuivez la cuisson. • Vérifiez l’assaisonnement et salez si besoin. • Faites cuire vos spaghetti juste al dente. • Égouttez-les. • Déposez ensuite les spaghetti cuites et déposez la bolognaise de lentilles sur le dessus. • Régalez-vous c’est délicieux. . Source Satoriz .",1,1
