regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"La recette : Couper au rasoir à légumes les courgettes non épluchées, les mettre en alternant les couleurs dans le plat de service, arroser de jus de citron, d’huile d’olive, saler, poivrer, ajouter de la coriandre en grains concassés et de la coriandre fraîche, des zestes de citron finement hachés et une gousse d’ail pressée.",1,1
"Ingrédients 4 petits panais 50 g de pousses de salades mélangées 2 cuillère(s) à soupe de pignons 30 g de parmesan 2 cuillère(s) à soupe de câpres au vinaigre 2 cuillère(s) à soupe d'huile d'olive 2 cuillère(s) à soupe de jus de citron sel, poivre Préparation Pelez les panais et râpez-les sur une râpe à gros trous ou dans un robot. Arrosez-les de jus de citron et mélangez bien afin qu’ils ne s’oxydent pas. Rincez les pousses de salades et essorez-les. Faites blondir les pignons dans une poêle sèche. Coupez le parmesan en petits copeaux. Mettez les panais et les pousses de salades dans un saladier, salez légèrement et arrosez d’huile d’olive. Mélangez bien. Dressez la salade dans quatre bols ou assiettes creuses et parsemez de câpres, de copeaux de parmesan et de pignons. Poivrez et mélangez au moment de déguster.",1,1
"Ingrédients sel poivre 1 cuillère à soupe de vinaigre balsamique 2 cuillères à soupe d' huile d'olive 0.5 oignon 0.5 poivron rouge 1 boîte de tomates pelées 1 fromage de chèvre frais demi de citron 2 brins de basilic Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Mixeur Les meilleures ventes Acheter 1 bol Top des saladiers + de détails 1 dénoyauteur Les meilleures ventes Acheter En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 10 min Préparation : 10 min Repos : - Cuisson : - Étape 1 Epépinez un demi-poivron rouge, épluchez et émincez un demi-oignon. Étape 2 Dans le bol d'un mixeur, mettez les tomates pelées avec leur jus, le poivron, l'oignon, le jus de citron et le vinaigre baslamique. Étape 3 Mixez jusqu'à obtention d'une soupe épaisse. Étape 4 Incorporez l'huile d'olive. Assaisonnez et réservez au frais. Étape 5 Coupez le fromage de chèvre en petits cubes. Étape 6 Au moment de servir, répartissez le gaspacho dans 2 verres, ajoutez les cubes de fromage de chèvre et décorez de feuilles de basilic. j julia_13814541",1,1
"Ingrédients 35 cl de lait d'amande 6 dattes dénoyautées les graines de 1 gousse de vanille 2 cuillère(s) à soupe de sirop d'érable Préparation Mixez finement 35 cl de lait d’amande, 6 dattes dénoyautées, les graines de 1 gousse de vanille et 2 c. à soupe de sirop d’érable. Versez dans des moules à glaces, et laissez prendre au congélateur 4h.",1,1
"Ingrédients 2 cuillères à café de sucre glace (ou 1 cuillère de substitut, si vous êtes au régime) 1 pincée de gingembre en poudre 2 oranges feuille de riz (de 25 cm environ) 2 pommes au choix 1 cuillère à café de cannelle Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Râpe Top des meilleures râpes + de détails 1 Couteau Top des meilleurs couteaux de cuisine + de détails 1 saladier Les meilleures ventes Acheter 1 film alimentaire + de détails 1 Fouet cuisine Top 5 des meilleurs fouets Acheter 1 planche à découper Top des meilleures planches à découper + de détails 1 balance de cuisine Top des meilleures balances + de détails 1 assiette + de détails 1 assiette plate + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 20 min Préparation : 20 min Repos : - Cuisson : - Étape 1 Peler et râper les pommes (râpe moyenne) et mélangez-les aux épices (cannelle, gingembre et sucre). Peler les oranges à vif en prenant soin d'éliminer toutes les petites peaux blanches et découper les en tranche. Étape 2 Ramollir les feuilles de riz comme indiqué sur le paquet, déposer chaque feuille sur une assiette plate, disposer joliment deux tranches d'orange et les pommes râpées pour finir par encore deux tranches d'orange. Étape 3 Rabattre les bords de la feuille de riz et rouler, enfermer chaque rouleau dans du film alimentaire et garder au frais jusqu'à dégustation. Étape 4 Procéder ainsi pour les deux autres rouleaux de printemps. Étape 5 Vous pouvez à volonté augmenter les quantités pour en faire plus et même choisir d'autres fruits comme les fraises en remplacement des oranges ou des mangues... Selon votre imagination! A Anonyme La suite après cette publicité Découvrez les meilleurs accords mets et vins avec les desserts aux agrumes avec Voir la sélection En partenariat avec Tanin.fr Qu'est-ce qu'on mange ce soir ? De l'inspiration chaque jour avec des recettes faciles, gourmandes et de SAISON :)",1,1
"Ingrédients : Pour 4 personnes 1/2 pastèque moyenne QS de feta, environ 4 bâtonnets Des olives noires à la grecque Quelques feuilles de roquette Pour la sauce: 10 cl de lait de coco à température ambiante 1 grosse poignée de feuilles de coriandre fraîche sel et poivre Préparation de la salade de pastèque Préparation : 10mn Pause au frais : 1h • Détaillez la pastèque en cubes de taille moyenne. • Disposez-les dans un récipient, j’ai utilisé une coupe transparent pour le bel effet visuel. • Parsemez de feta émietté ainsi que les olives noires à la grecque. • Disposez autour de votre saladier une dentelle de feuilles de roquette. • Parsemez de coriandre hachée. La sauce à la coriandre • Mixez finement le lait de coco et la coriandre fraîche. • Salez et poivrez et servez avec la salade. • Réfrigérez. • Dégustez très frais et régalez-vous.",1,1
"Ingrédients sel poivre 1 cuillère à café de miel liquide 10 cuillères à soupe d' huile d'olive 12 coquilles saint-jacques fraîches ou surgelées (uniquement la chair blanche) 1 bouquet de basilic frais 1 citron vert Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 congélateur + de détails 1 dénoyauteur Les meilleures ventes Acheter 1 Frigo Top des meilleurs réfrigérateurs + de détails En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 15 min Préparation : 15 min Repos : - Cuisson : - Étape 1 Trancher les coquilles en fines lamelles (si elles sont fraîches, les mettre au congélateur une demi-heure pour les trancher plus facilement). Étape 2 Les disposer sur les assiettes. Étape 3 Préparer une vinaigrette avec l'huile d'olive, le jus du citron vert, le miel, le basilic ciselé. Saler et poivrer. Étape 4 Mettre la vinaigrette sur les tranches de coquilles et mettre au réfrigérateur une heure avant de servir. i isa Note de l'auteur : « NDLR : Une recette de Noel à base de coquille Saint-Jacques. » La suite après cette publicité Découvrez les meilleurs accords mets et vins autour des produits de la mer avec Voir la sélection En partenariat avec Tanin.fr Qu'est-ce qu'on mange ce soir ? De l'inspiration chaque jour avec des recettes faciles, gourmandes et de SAISON :)",1,1
"Ingrédients 200 g de framboises 140 g de groseilles 120 g de rhubarbe 1 citron jaune bio 4 cuillère(s) à soupe de sirop de coco Pour le crumble 150 g de flocons d'avoine 20 g de noix de coco en poudre pas trop fine 50 g d'huile de coco 4 cuillère(s) à soupe de sirop de coco Préparation La veille, préparez les fruits. Epluchez la rhubarbe et détaillez-la en tronçons de ½ cm d’épaisseur. Lavez rapidement les framboises et les groseilles. Séchez-les avec un papier absorbant. Râpez finement le zeste du citron et pressez le jus. Dans un grand bol, faites macérer les fruits dans le jus de citron, le zeste et le sirop de coco. Dans un grand contenant, réalisez la pâte à crumble en mélangeant ensemble les flocons d’avoine, la noix de coco, l’huile de coco et le sirop de coco. Réservez au frais. Le jour même, déposez les fruits égouttés dans un grand plat, déposez sur le dessus la pâte à crumble émiettée. Servez sans attendre.",1,1
"Ingrédients sel poivre 5 cuillères à soupe d' huile d'olive 3 cuillères à soupe de persil haché 2 carottes 1 chou-fleur moyen 2 citrons jaunes 1 gousse d' ail Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 couteau Top 3 des couteaux + de détails 1 Râpe Top des meilleures râpes + de détails 1 Mixeur Les meilleures ventes Acheter 1 Cuillère en bois Les meilleures ventes Acheter 1 dénoyauteur Les meilleures ventes Acheter Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 20 min Préparation : 20 min Repos : - Cuisson : - Étape 1 Détailler le chou-fleur en très petits bouquets et le faire tremper dans une eau légèrement vinaigrée durant au moins 5 minutes puis rincer soigneusement. Étape 2 Râper les carottes. Hacher très finement la gousse d'ail. Étape 3 Émulsionner le jus de citron avec l'huile d'olive, du sel et du poivre. Étape 4 Ajouter l'ail puis le chou-fleur et les carottes. Remuer et laisser macérer durant 30 minutes. Saupoudrer de persil haché, remuer et servir. j justine75",1,1
