regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"Ingrédients : Pour 4 personnes 120 g de salade (mesclun) 4 belles figues de Soliès 150g de jambon cru en effilochade Copeaux de parmesan 1 peu de pignons 4 càs d’huile d’olives 1 càs soupe de vinaigre de figues sel & poivre Préparation de la salade aux figues • Lavez et essorez délicatement le mélange de salade. • Préparez les copeaux de parmesan à l’aide d’un économe. • Dans un bol, mélangez le vinaigre, l’huile, le sel et le poivre. • Coupez chaque figues en 8. • Disposez le mesclun, arrosez avec la vinaigrette, • Posez ensuite de façon harmonieuse, les figues, le jambon cru et les copeaux de parmesan. • Dégustez !",1,1
"Ingrédients 1 bouteille de vin rouge Côtes du Rhône (rouge de préférence Gigondas ou Vacqueyras, c'est IMPÉRATIF pour que la daube soit provençale!) 2 cuillères d' huile d'olive (dans l'idéal, des Baux, évidemment) 1 orange prélevée au moins 8 jours avant et bien sèche poivre et sel 1 bouquet de thym 2 feuilles de laurier 1 carotte 1 oignon 2 kg de boeuf à daube maigre type paleron, galinette coupée en gros morceaux 2 gousses d' ail 300 g d' olives noires dénoyautées 2 cuillères de coulis de tomate Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 saladier Les meilleures ventes Acheter 1 cocotte + de détails 1 sauteuse Top 3 des sauteuses + de détails 1 pôele Le top des poêles + de détails 1 casserole Top 3 des batteries de casseroles + de détails 1 Râpe Top des meilleures râpes + de détails 1 Mijoteuse électrique Les meilleures ventes Acheter 1 dénoyauteur Les meilleures ventes Acheter Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1h15 Préparation : 15 min Repos : - Cuisson : 1 h Étape 1 Dans un saladier, mettre la viande, l'oignon et la carotte finement coupés, l'ail épluché, le thym et le laurier, le poivre et le zeste d'orange coupé. Étape 2 Verser le vin et laisser macérer de 12 à 24h au frais. Étape 3 Le lendemain, égoutter la viande et la faire revenir dans une sauteuse, dans l' huile très chaude, morceau après morceau , la déposer dans une cocotte minute. Étape 4 Porter ensuite la marinade et ses ingrédients à ébullition dans la sauteuse ayant servi pour la viande pendant 5 mn. Étape 5 Verser sur la viande, saler (mais pas trop car on va ajouter des olives en fin de cuisson), ajouter la sauce tomate. Étape 6 Fermer la cocotte minute et laisser cuire 1h30 à partir de la rotation de la soupape qui doit tourner à vitesse lente (le feu ne doit pas être trop vif pour éviter que la viande ""n'attrape""au fond). Étape 7 Laisser refroidir la cocotte, ouvrir et rajouter les olives noires et 2 cuillerées à soupe d'huile d'olive. a alya_14031185",1,1
"Ingrédients 1 kg de pommes type golden 100 g de châtaignes 2 sachets de sucre vanillé Préparation Incisez chaque châtaigne profondément. Faites-les cuire 5 mn dans une casserole d’eau bouillante. Égouttez-les, plongez-les dans un bol d’eau glacée, et épluchez-les à l’aide d’un couteau. Pelez, évidez et coupez les pommes en gros cubes. Dans une grande casserole, déposez les châtaignes puis les pommes sans les mélanger (les châtaignes doivent rester au fond pendant la cuisson), versez le sucre vanillé et 20 cl d’eau. Portez à ébullition et laissez cuire 40 mn à couvert, à feu moyen-doux. Mixez à votre convenance, selon que vous préfériez une compote lisse ou avec des morceaux. Servez tiède ou froid.",1,1
"Ingrédients 200 g de flocons d'avoine 200 g de champignons de Paris 1 poireau 1 oignon 100 g de tofu fumé 2 gousses d'ail sauce soja 200 g de chou kale 1 cuillère(s) à soupe de jus de citron 50 g de levure maltée 200 g d'épinards huile d'olive graines de chanvre sel, poivre La sauce les pieds des champignons 40 g de tofu soyeux 1 pincée de poivre 1 cuillère(s) à soupe de miso blond 2 cuillère(s) à soupe de levure maltée Préparation Coupez les champignons (réservez les pieds pour la sauce) et le poireau en tranches, l’oignon en petits morceaux et le tofu en cubes. Faites sauter les champignons avec 1 cuil. à soupe d’huile dans une casserole. Lorsqu’ils commencent à brunir, pelez et écrasez l’ail dans la casserole, ajoutez l’oignon et les flocons d’avoine, et mélangez. Puis versez de l’eau (environ 60 cl) jusqu’à recouvrir les flocons, sans mélanger. Portez à ébullition, baissez le feu et, toujours sans mélanger, ajoutez le poireau, 2 cuil. à soupe de sauce soja, du sel et du poivre. Laissez mijoter jusqu’à ce que l’eau soit quasiment absorbée. Sortez du feu, incorporez la levure maltée et les épinards, et mélangez. Faites sauter le chou et le tofu dans une poêle avec un peu d’huile, le jus de citron, du sel et du poivre. Préparez la sauce. Faites cuire les pieds des champignons à la vapeur ou au micro-ondes dans un grand volume d’eau, et laissez refroidir. Égouttez-les et mixez-les au blender avec le reste des ingrédients et environ 20 cl d’eau. Servez le porridge, le chou kale et le tofu avec la sauce et parsemez de graines de chanvre.",1,1
"Ingrédients le cake 200 g de chocolat noir vegan 20 cl de lait végétal 75 g d'huile de coco 150 g de sucre de canne 200 g de compote de pomme 50 g de poudre d'amande 200 g de farine de riz 30 g de maïzena 10 g de poudre à lever sans gluten 5 g de gomme de guar 150 g de noisettes le glaçage chocolat 5 cl d'eau 7,5 cl de crème de soja 2 g d'agar-agar 80 g de sucre 50 g de cacao en poudre Préparation Préparez le cake. Faites fondre le chocolat avec le lait et 5 cl d’huile de coco au bain-marie. Mixez le chocolat fondu avec le sucre, la compote et la poudre d’amande pendant 5 mn. Ajoutez la farine, la Maïzena et la poudre à lever, mixez à nouveau. Ajoutez enfin la gomme de guar, mixez. Hors du robot, incorporez les noisettes. Versez cet appareil dans un moule à cake préalablement huilé avec 2,5 cl d’huile de coco. Faites cuire le cake à 160 °C (th. 5-6) pendant 30 mn, puis à 110 °C (th. 3-4) pendant 30 mn. Préparez le glaçage en portant à ébullition 30 s l’eau, la crème de soja et l’agar-agar. Ajoutez le sucre, mélangez à feu doux pour le faire fondre. Ajoutez le cacao hors du feu. Versez ce glaçage sur le cake froid.",1,1
"Ingrédients huile de friture sel 1 cuillère à café de coriandre en poudre 1 cuillère à café de cumin en poudre 3 cuillères à soupe de farine 1 bouquet de persil 1 oignon moyen 200 g de pois chiches 500 g de fèves sèches 2 gousses d' ail 1 cuillère à café de paprika 3 cuillères à soupe de basilic frais haché Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Mixeur Les meilleures ventes Acheter 1 robot pâtissier Le top des robots pâtissiers + de détails 1 Cuillère en bois Les meilleures ventes Acheter 1 friteuse + de détails 1 Frigo Top des meilleurs réfrigérateurs + de détails 1 mixer + de détails 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1h20 Préparation : 1 h Repos : - Cuisson : 20 min Étape 1 Faites tremper les pois chiches et les fèves dans l'eau 12 h, les égoutter et les cuire 45 mn à l'auto cuiseur. Étape 2 Peler oignon et ail, les hacher ainsi que le persil. Étape 3 Passer les fèves et les pois chiches au mixer (ou robot). Étape 4 Mélanger avec le persil, l'oignon, l'ail, la farine, les épices, le sel. Étape 5 Pétrissez le tout avec vos mains en ajoutant un peu d'eau si nécessaire. Rassemblez la pâte et laisser reposer au réfrigérateur pendant minimum 30 mn. Étape 6 Façonner une trentaine de boulettes de la grosseur d'une pièce de 2 euros. Étape 7 Les faire frire 2/3 mn puis les égoutter sur du papier absorbant. Étape 8 Servir chaud ou froid avec des petites sauces tomates aux herbes, ou sauces yaourts. s sarah_15946584",1,1
"Ingrédients 250 g de pois chiches crus 4 oignons rouges 3 gousses d'ail 1 botte de basilic ciselée 1 g de paprika fumé 3 carottes 2 courgettes 2 g de garam massala 500 g de riz demi-complet cuit 500 g de chou rouge 1/2 verre(s) de vinaigre blanc 1,5 concombre 200 g de yaourt au soja 2 citrons jaunes 1 botte de menthe ciselée sel, poivre huile d'olive 100 g de pousses d'épinards Préparation Faites tremper les pois chiches la veille dans une grande quantité d’eau. Le lendemain, égouttez-les et séchez-les bien. Mixez les pois chiches avec 1 oignon, 1 gousse d’ail et le basilic ciselé. Salez, poivrez et ajoutez le paprika. Formez des boules de la taille d’une noix et posez-les sur une plaque. Glissez les falafels au four 20 mn à 180 °C (th. 6). À mi-cuisson, retournez-les. Faites revenir les carottes et les courgettes émincées avec 2 cuil. à soupe d’huile d’olive, 2 gousses d’ail et 2 oignons ciselés. Salez, poivrez et ajoutez le garam masala. Laissez cuire 10 mn pour garder les légumes fermes. Ajoutez le riz et laissez encore 5 mn sur feu doux. Taillez le chou rouge à la mandoline, arrosez-le de vinaigre. Laissez reposer 10 mn. Coupez 1 concombre en deux dans le sens de la longueur. Épépinez-le. Râpez-le et réservez. Ajoutez le yaourt, 1 oignon haché, le jus des 2 citrons, la menthe, 1 cuil. à soupe d’huile d’olive, sel et poivre. Servez le riz aux légumes dans des bols, surmonté de la sauce au yaourt, des falafels, du chou rouge, du reste de concombre émincé et de pousses d’épinards.",1,1
"Ingrédients 1 bouteille d' huile de tournesol pour la friture sel poivre 1 poivron vert 1 oignon 8 oeufs entiers 10 pommes de terre 10 rondelles de chorizo piquant ou non 1 gousse d' ail Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Set 3 poêles Notre sélection des meilleures poêles + de détails 1 pinceau 6,72€ + de détails 1 Couteau Top des meilleurs couteaux de cuisine + de détails 1 économe Top 5 des meilleurs économe + de détails 1 saladier Les meilleures ventes Acheter 1 Écumoire + de détails 1 sauteuse Top 3 des sauteuses + de détails 1 Couvercle Les meilleures ventes Acheter 1 plat + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 45 min Préparation : 30 min Repos : - Cuisson : 15 min Étape 1 Eplucher et couper les pommes de terre en dés et les faire dorer à feu vif, dans une poêle à bords hauts, avec suffisamment d'huile pour qu'elle recouvre quasiment les dés. Étape 2 Pendant ce temps, éplucher et couper finement l'oignon et le poivron en lanières. Étape 3 Lorsque les dés de pomme de terre commencent à devenir translucides voire un peu colorés, rajoutez les oignons et le poivron. Étape 4 Pendant que ces ingrédients dorent, couper en rondelles le chorizo en prenant le soin d'enlever la peau. Étape 5 Ne rajouter le chorizo dans la poêle que lorsque les pommes de terre sont quasiment prêtes (dorées). Étape 6 L'huile va se colorer, retirer la poêle du feu au bout de 2-3 min. Étape 7 Casser les 8 oeufs dans le saladier et saler abondamment. Étape 8 La technique pour que la tortilla soit DIVINA c'est de goûter l'oeuf, il faut qu'il soit salé et la tortilla sera salée comme il faut. Étape 9 Poivrer et rajouter l'ail haché ou moulu. Étape 10 Là attention à ceux qui ont peur de se brûler : prendre un écumoir et enlever tous les ingrédients de l'huile, égoutter et les mettre dans le saladier avec les oeufs. Étape 11 ""Casser"" les pommes de terre avec l’écumoire dans le saladier. Étape 12 Plus les pommes de terre sont ""cassées"", plus la tortilla sera homogène. Étape 13 Vider l'huile de la poêle (si vous penser en refaire, vider l'huile dans un bocal après l'avoir filtrée, ainsi vous pourrez réutiliser cette huile une prochaine fois). Étape 14 Il doit juste en rester un tout petit peu pour pouvoir faire dorer la tortilla. Étape 15 Verser l'appareil dans la poêle ou sauteuse avec un feu moyen voire doux. Étape 16 Avec une cuillère en bois, aplatir les bords de la tortilla et secouer légèrement la poêle de temps en temps pour s'assurer que ça n'accroche pas. Étape 17 Lorsque l'oeuf du dessus n'est quasiment plus liquide, avec l'aide d'un couvercle plat retourner la tortilla et faire dorer de l'autre côté. Étape 18 Déguster chaude ou froide. e emma_14286623",1,1
"Ingrédients 500 g d' asperge bien égouttées 5 oeufs durs 5 cuillères à soupe de mayonnaise 4 cuillères à soupe de crème fraîche épaisse 1 sachet de gelée au madère dilué dans 25 cl d'eau Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 robot pâtissier Le top des robots pâtissiers + de détails 1 bol Top des saladiers + de détails 1 Mixeur Les meilleures ventes Acheter 1 Moule à cake Top des moules à cake 2022 + de détails 1 Frigo Top des meilleurs réfrigérateurs + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 30 min Préparation : 30 min Repos : - Cuisson : - Étape 1 Veiller à bien essorer les asperges dans du papier absorbant, pour éviter qu'elles ne rendent trop d'eau et que la terrine ne s'effondre. Étape 2 Mettre tous les ingrédients dans le bol du robot, et mixer le tout. Étape 3 Verser dans un moule à cake. Étape 4 Laisser prendre 3 heures minimum au réfrigérateur, démouler, et servir bien frais. D Delphine_881",1,1
