regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"Let’s go en cuisine pour préparer ces croquettes de thon aux herbes! Imprimer Épingler la recette 5 de 4 votes Croquettes de thon aux herbes Temps de préparation15 minutes min Temps de cuisson15 minutes min Type de plat: Apéritif, Entrée Mots-clés: aneth, coriandre, croquettes, persil, piment jalapeño, thon Portions: 15 Ingrédients 3 oeufs3 cs de farine350 g de thon (poids net égoutté)1 échalote1 piment jalapeño1 citron vertquelques brins de persilquelques brins d'anethquelques brins de coriandresel, poivrede l'huile de tournesol pour la cuisson InstructionsDans un saladier, mélanger les oeufs avec la farine.Ajouter le thon émietté, l'échalote et le piment taillés en tout petits dés, les herbes ciselées, le zeste finement râpé du citron, du sel et du poivre.Façonner des croquettes en vous aidant de deux cuillères à soupe (ou alors faire des boules aplaties directement avec les mains).Faire chauffer un fond d'huile dans une grande poêle à environ 170°. Faire cuire les croquettes en les retournant dans l'huile.Egoutter sur du papier absorbant.Servir avec une petite sauce au fromage blanc, ail et fines herbes et un filet de jus du citron.",1,1
"Ingrédients 50 g de fraises 4 cuillère(s) à soupe d'huile d'olive 1 cuillère(s) à soupe de vinaigre balsamique 100 g de roquette 2 tranches de jambon cru type jambon de Parme 4 brins de basilic Préparation Rincez les fraises rapidement sous l’eau froide et équeutez-les. Mixez la moitié des fraises avec l’huile d’olive, le vinaigre balsamique, une pincée de sel et une pincée de poivre noir. Dans un saladier, mélangez l’autre moitié des fraises coupées en grosses rondelles avec la roquette et les tranches de jambon déchirées en petites lanières, parsemez de basilic lavé et ciselé. Servez avec la vinaigrette à la fraise.",1,1
"Ingrédients : Pour 4 personnes 250 g de pâte à Pizza Pâte 350 g farine 2 c à c sel 15 g levure boulangère fraiche 3 c à s huile d’olive 25 cl d’eau tiède 150 g de fraises 100 g de mascarpone 2 brins de romarin Préparation de la pizza aux fraises et mascarpone Préparation : 15 mn Pause levée de la pâte : 20 mn Cuisson : 20 mn . • Dans le bol du robot, mettez la farine, puis le sel, la levure de boulanger émiettée et l’huile d’olive . • À l’aide de l’outil crochet mélangez et • Ajoutez l’eau progressivement jusqu’à obtenir une pâte qui se détache des parois. • Couvrez d’un torchon • Laissez reposer la pâte pendant 30 mn environ • Vous obtenez environ 500 g de pâte. • Dégazez la pâte avec la paume de la main et • Divisez la en deux parties égales de 250 g environ. Vous pouvez congeler le 2e pâton. • Préchauffez le four à 200°C • Façonnez la pâte en un ovale • Répartissez le mascarpone sur la pâte à l’aide d’une spatule • Déposez les fraises coupées en morceaux • Parsemez de cassonade et de romarin • Enfournez pendant 15 min à 20 mn jusqu’à ce que la pâte soit dorée. • Dégustez chaud ou froid et régalez-vous. • Une pizza sucrée originale et tout à fait délicieuse. . Source : magazine Saveurs .",1,1
"Let’s go en cuisine pour préparer cette brioche sans oeuf! Imprimer Épingler la recette 4.20 de 5 votes Brioche sans oeuf Une brioche toute moelleuse Temps de préparation10 minutes min Temps de cuisson25 minutes min Temps de repos de la pâte2 heures h Type de plat: Petit déjeunerCuisine: Française Mots-clés: brioche Matériel nécessaireThermomix ou robot pâtissier Ingrédients 500 g de farine320 g de lait 75 g de sucre2 cc de levure de boulanger sèche100 g de beurredu lait pour la dorureun peu de sucre perlé et de pépites de chocolat InstructionsDans le bol du thermomix, placer la farine, le lait, le sucre et la levure.Pétrir 5 min en fonction épi.Ajouter le beurre en morceaux.Pétrir encore 5 min.Laisser la pâte doubler de volume dans le bol fermé (ou débarrasser la pâte dans un saladier et couvrir).Dégazer la pâte et façonner la brioche.La placer dans un moule à cake ou directement sur la plaque couverte d'une feuille de cuisson.Laisser de nouveau doubler de volume.Préchauffer le four à 180° (chaleur tournante).Badigeonner la brioche de lait avec un pinceau et saupoudrer de sucre perlé et de pépites de chocolat.Enfourner et laisser cuire 25 min.",1,1
"Ingrédients Ingrédient incontournable 50 g de pépites de chocolat extrait de vanille liquide (quelques gouttes) 1 cuillère à soupe de noix de coco rapée 4 bananes s 80 g de flocons d'avoine Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 Four Top des meilleurs fours + de détails 1 saladier Les meilleures ventes Acheter En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 25 min Préparation : 10 min Repos : - Cuisson : 15 min Étape 1 Préchauffer le four à 180°C. Étape 2 Écraser les bananes dans un saladier. Étape 3 Ajouter les flocons d'avoine, la noix de coco, l'extrait de vanille et les pépites de chocolat. Étape 4 A l'aide d'une cuillère (à thé par exemple), poser des boules de pâtes sur une plaque recouverte de papier sulfurisé. Étape 5 Cuire à 180°C pendant 15 minutes pour des cookies moelleux («chewy»), ou 20 minutes pour des cookies plus croustillants. j julia_19261668",1,1
"Ingrédients 200 g de chocolat noir ou lait 75 g de beurre ou 50 g si chocolat au lait 100 g de pétales de maïs (ou autres céréales soufflées au choix : quinoa, riz…) billes en sucre ou vermicelles en chocolat Préparation Faites fondre au bain-marie 200 g de chocolat noir avec 75 g de beurre ou 200 g de chocolat au lait avec 50 g de beurre. Lissez le mélange à la spatule. Retirez du feu et ajoutez les pétales de maïs (ou autres céréales soufflées au choix : quinoa, riz…) puis mélangez. Prélevez des cuillerées de chocolat aux céréales et déposez-les dans des caissettes en papier. Décorez de billes en sucre ou de vermicelles en chocolat. Laissez prendre 2 h au réfrigérateur. Consommez rapidement.",1,1
"Ingrédients 300 g de carottes 2 oignons 350 g de lentilles corail coriandre moulue curcuma moulu cumin moulu gingembre moulu noix de muscade moulue 500 g de tomates pelées en conserve bouillon de légumes feuilles de coriandre sel, poivre du moulin huile d'olive graines de sésame feuilles de cerfeuil Préparation Pelez les carottes et coupez-les en rondelles. Pelez et émincez les oignons. Rincez les lentilles corail. Versez dans une casserole 2 cuil. à soupe d’huile d’olive, ajoutez les oignons et faites cuire 5 mn à feu moyen, jusqu’à ce qu’ils soient translucides. Ajoutez les carottes, 1 cuil. à café de coriandre, 1 cuil. à soupe de curcuma, 1 cuil. à soupe de cumin, 2 cuil. à café de gingembre et 1 cuil. à café de noix de muscade. Poursuivez la cuisson pendant 5 mn. Incorporez les lentilles corail, les tomates pelées avec leur jus et 1,6 l de bouillon. Portez à ébullition, baissez le feu, puis laissez mijoter 20 mn à feu doux. Ajoutez quelques feuilles de coriandre et mélangez. Versez la préparation dans le bol d’un blender puis mixez jusqu’à obtenir une texture lisse et homogène. Salez, poivrez. Versez la soupe dans des bols, saupoudrez de graines de sésame et de feuilles de cerfeuil.",1,1
"Ingrédients 125 g de framboises 10 g de sucre 2 cuillères à soupe d' eau 150 g de tofu soyeux 50 g de farine de riz 20 cl de lait d'avoine 15 g de sirop d'érable Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 casserole + de détails 1 cuillère en bois + de détails 1 fouet + de détails 1 four + de détails 1 Balance de cuisine + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1 h Préparation : 20 min Repos : - Cuisson : 40 min Étape 1 Préparer la confiture de framboise : laver délicatement les framboises, puis les verser avec l’eau et le sucre dans une petite casserole. Faire chauffer à feu doux en remuant avec une cuillère en bois et laisser compoter. Une fois la texture souhaitée obtenue, mettre de côté et laisser refroidir. Étape 2 Fouetter le tofu jusqu’à obtenir une texture crémeuse. Étape 3 Ajouter la farine, puis le lait végétal et le sirop d’érable. Mélanger au fouet jusqu’à obtenir une texture lisse sans grumeaux. Étape 4 Remplir les moules à moitié, ajouter deux cuillères à café de confiture au centre de chaque moule et recouvrir avec le reste de pâte. Mélanger délicatement pour faire apparaître des volutes. Étape 5 Faire cuire 40 minutes au four à 180°C (thermostat 6).",1,1
"Ingrédients coriandre fraîche curry 1 tomate , enlever pulpe, hacher chaire 1 piment frais haché (attention au piment, lavez-vous les mains en frottant les ongles une fois haché !) 1 oignon 1 courgette en petits cubes pincée de sel 3 cuillères à soupe d' huile d'olive 200 g de farine bise (ou 50 g de farine complète + 150 g de farine blanche) 200 g de tofu ferme nature en petits cubes 2 gousses d' ail Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 saladier Les meilleures ventes Acheter 1 Cuillère en bois Les meilleures ventes Acheter 1 Set 3 poêles Notre sélection des meilleures poêles + de détails 1 couteau Top 3 des couteaux + de détails 1 Rouleau à pâtisserie Top des meilleurs rouleaux à pâtisserie + de détails 1 Four Top des meilleurs fours + de détails 1 fourchette + de détails 1 presse agrume + de détails 1 planche à découper Top des meilleures planches à découper + de détails 1 dénoyauteur Les meilleures ventes Acheter 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1h40 Préparation : 1 h Repos : - Cuisson : 40 min Étape 1 Préparer la pâte : mélanger la farine, le sel et l'huile d'olive jusqu'à obtention mélange sableux. Étape 2 Ajouter graduellement de l'eau (environ 20 cl) jusqu'à pouvoir former une boule lisse. Laisser reposer. Étape 3 Préparer la farce : émincer l'ail et l'oignon, puis les faire revenir avec le piment, puis ajouter tofu et remuer 5 min. Étape 4 Ajouter tomate et courgette, sel, poivre, curry (préférez du curry de madras ou du curry doux, pour résultat plus relevé forcez le piment). Étape 5 Laisser cuire 5 min, les courgettes doivent rester croquantes. Retirez du feu, ajouter coriandre hachée, laisser bien refroidir. Étape 6 Là, ça se complique... :) Pour former des ronds de pâte de 8cm de diamètre, abaisser des petites quantités de pâte pour former des ronds approximativement de la bonne grandeur, puis découper la forme exacte avec un emporte-pièce ou simplement avec un récipient du bon diamètre et un couteau. Étape 7 Répartir la farce dans chaque rond en laissant suffisamment de bords pour pouvoir refermer en pliant en 2. Bien presser les bords ensemble, petits trous à la fourchette sur le dessus. Étape 8 Cuire à four chaud (180 à 200°C) pour éviter que le dessous soit tout mou... 10 min pile, 15 min face, 10 à 15 min dernier tour en badigeonnant légèrement le dessus à l'oeuf. Étape 9 Voilà, faut avoir le temps, pour végétariens patients... Version viande hachée délicieuse aussi cela dit! a agathe_16616940",1,1
