regime,valeur réelle,valeur prédite
VRAIS POSITIFS, , 
"Ingrédients 20 g d'amandes 3 cuillère(s) à café d'eau de rose 125 g de graines de chia 1 cuillère(s) à soupe de jus de betterave 1 cuillère(s) à soupe d'huile de coco 25 g de sirop d'érable Préparation Versez l’eau de rose, le jus de betterave, l’huile et le sirop d’érable dans un blender. Ajoutez les amandes, les graines de chia et mixez.",1,1
"Ingrédients 250 g de lentilles de votre choix 3 oignons 1 carotte 2 cuillère(s) à soupe d'huile d'olive 2 cuillère(s) à soupe de sucre 2 cuillère(s) à soupe de vinaigre balsamique 2 cuillère(s) à soupe de sauce soja 25 cl de bouillon de légumes 2 cuillère(s) à soupe de concentré de tomates sel et poivre La purée 2 kg de pommes de terre 12,5 cl de lait végétal nature neutre en goût 100 g de margarine végétale Préparation Faites cuire les lentilles à l’eau selon la variété. Elles doivent être un peu fermes. Égouttez-les. Épluchez et émincez finement les oignons, taillez la carotte en brunoise. Mettez les oignons avec l’huile d’olive dans une sauteuse à feu moyen-vif. Quand ils deviennent translucides, ajoutez la carotte. Baissez à feu doux et laissez cuire. Ajoutez le sucre et laissez caraméliser à feu moyen. Déglacez avec le vinaigre balsamique et mélangez. Baissez à feu doux, mélangez souvent. Versez les lentilles et la sauce soja, ajoutez le bouillon et le concentré de tomates. Laissez cuire quelques minutes et rectifiez l’assaisonnement selon le goût. Préparez la purée. Épluchez les pommes de terre et coupez-les en morceaux de taille moyenne. Faites-les cuire à l’eau bouillante jusqu’à ce qu’elles soient fondantes. Égouttez-les puis écrasez-les à l’aide d’un presse-purée, avec le lait et la margarine. Versez les lentilles dans un grand plat et recouvrez-les avec la purée. Vous pouvez ajouter une fine couche de chapelure et un peu de margarine pour faire gratiner 5 mn sous le gril.",1,1
"Ingrédients 400 g de petits cèpes des pins 2 poireaux 1 poignée d'amandes 1 oignon rouge 3 branches de thym 3 brins de cerfeuil 3 brins de ciboulette 10 cl de vinaigre de vin huile d'olive sel, poivre du moulin Préparation Coupez la base du pied des cèpes, puis brossez-les avec un pinceau humide pour éliminer la terre. Rincez les poireaux. Retirez la partie la plus verte et taillez-les en tronçons de 6 cm. Versez un fond d’eau dans une casserole, salez et faites-y mijoter les poireaux pendant 15 mn environ, jusqu’à ce que l’eau de cuisson se soit complètement évaporée. Saisissez en aller-retour les poireaux et les trois quarts des cèpes sur feu vif au gril ou dans une poêle antiadhésive. Retirez les poireaux et réservez-les. Arrosez les cèpes d’un filet d’huile d’olive, prolongez la cuisson pendant 5 mn et réservez. Concassez les amandes. Hachez grossièrement les cèpes restants. Épluchez et émincez l’oignon. Rincez les herbes. Versez un filet d’huile d’olive dans une poêle. Faites revenir pendant 1 mn l’oignon et le hachis de cèpes avec 2 branches de thym. Déglacez avec le vinaigre et retirez de la poêle. Transvasez dans un bol et mélangez avec 15 cl d’huile d’olive. Effeuillez le cerfeuil et la dernière branche de thym. Ciselez la ciboulette. Parsemez les cèpes et les poireaux grillés d’amandes, de cerfeuil, de thym et de ciboulette. Salez et poivrez. Servez accompagné de la vinaigrette aux cèpes.",1,1
Ingrédients : Pour 8 personnes 250 g de farine 1/2 sachet de levure 125 g de sucre vanillé 15 cl d’huile 80 g d’amandes en poudre 1/2 sachet de levure chimique Cannelle Préparation des montécaos Préparation : 15 mn Cuisson : 20 mn . • Mélangez la farine tamisée avec le sucre. • Ajoutez l’huile au fur et à mesure jusqu’à l’obtention une pâte avec laquelle vous serez capable de former des boules • Formez des boulettes de la grosseur d’une noix (20g) pour moi et • Déposez-les sur une plaque de cuisson. • Déposez sur chacune un peu de cannelle • Mettre dans un four préchauffé à 180°C. • Retirez quand le dessous prend une belle couleur. • Attendre le refroidissement complet pour les toucher • Ils vont se durcir en refroidissant. • Rangez les montécaos dans une boite métallique. • Délicieux pour accompagner un thé. .,1,1
Ingrédients 250 g de dattes medjool 100 g de poudre de cacao cru 125 g d'amandes mondées + 20 g pour servir Préparation Versez 20 cl d’eau bouillante sur les dattes medjool. Faites-les tremper pendant 15 à 20 mn. Mixez les amandes et le cacao. Égouttez les dattes (réservez un peu d’eau de trempage si besoin) et mixez-les avec le mélange cacao-amandes jusqu’à l’obtention d’une pâte homogène et compacte. Ajoutez un peu d’eau de trempage des dattes si nécessaire. Étalez la préparation dans un moule carré de 18 à 20 cm et lissez à la spatule. Filmez et placez au réfrigérateur pendant 2 h minimum. Découpez en petits carrés et servez-les avec quelques amandes concassées.,1,1
"Ingrédients : Pour 6 personnes 1 ananas frais 2 bananes, 2 kiwis, 2 pommes 1 orange des fraises et des framboises des Myrtilles 1 jus de citron extrait de vanille quelques feuilles de menthe Préparation de la salade de fruits Préparation : 20 mn Pause au froid : 2h . • Épluchez les pommes et coupez les en petits dés. • Lavez les fraises et les myrtilles. • Epluchez votre ananas et coupez le en morceaux. • Levez les suprêmes de l’orange. • Coupez les bananes en rondelles. • Épluchez les kiwi et coupez les en rondelles. • Mélangez tous les fruits dans un saladier. • Ajoutez l’extrait de vanille et le jus de citron. • Mélangez et réservez au frais. • Sortez la salade de fruits en début de repas, les fruits sont meilleurs à température ambiante. • Chacun peut varier le choix des fruits. Je ne mets pas de sucre à vous d’ajuster. .",1,1
"Ingrédients 300 g de chocolat vegan (70 % de cacao) 65 g d'huile de coco 80 g de beurre d'amandes 4 cuillère(s) à soupe de sirop de gingembre confit 65 g de gingembre confit au sirop en petits dés 60 g de gingembre confit au sucre grossièrement coup Préparation Chemisez un moule carré (22 cm) de papier cuisson. Coupez le chocolat en petits carrés et déposez-les dans un grand saladier résistant à la chaleur. Mettez l’huile de coco, le beurre d’amandes, le sirop et les petits dés de gingembre confit dans une casserole, faites chauffer pendant environ 10 min sur feu doux. Lorsque tous les ingrédients ont fondu, versez sur le chocolat et mélangez à l’aide d’une fourchette. Transvasez cette préparation dans le moule, secouez doucement pour une répartition uniforme, et parsemez des morceaux de gingembre confit. Laissez refroidir dans un endroit frais ou au réfrigérateur. Découpez des truffes, dégustez.",1,1
"Ingrédients coriandre fraîche curry 1 tomate , enlever pulpe, hacher chaire 1 piment frais haché (attention au piment, lavez-vous les mains en frottant les ongles une fois haché !) 1 oignon 1 courgette en petits cubes pincée de sel 3 cuillères à soupe d' huile d'olive 200 g de farine bise (ou 50 g de farine complète + 150 g de farine blanche) 200 g de tofu ferme nature en petits cubes 2 gousses d' ail Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr La suite après cette publicité Ustensiles 1 saladier Les meilleures ventes Acheter 1 Cuillère en bois Les meilleures ventes Acheter 1 Set 3 poêles Notre sélection des meilleures poêles + de détails 1 couteau Top 3 des couteaux + de détails 1 Rouleau à pâtisserie Top des meilleurs rouleaux à pâtisserie + de détails 1 Four Top des meilleurs fours + de détails 1 fourchette + de détails 1 presse agrume + de détails 1 planche à découper Top des meilleures planches à découper + de détails 1 dénoyauteur Les meilleures ventes Acheter 1 balance de cuisine Top des meilleures balances + de détails Voir plus Voir moins En cliquant sur les liens, vous pouvez être redirigé vers d’autres pages de notre site, ou sur Amazon.fr Préparation Temps total : 1h40 Préparation : 1 h Repos : - Cuisson : 40 min Étape 1 Préparer la pâte : mélanger la farine, le sel et l'huile d'olive jusqu'à obtention mélange sableux. Étape 2 Ajouter graduellement de l'eau (environ 20 cl) jusqu'à pouvoir former une boule lisse. Laisser reposer. Étape 3 Préparer la farce : émincer l'ail et l'oignon, puis les faire revenir avec le piment, puis ajouter tofu et remuer 5 min. Étape 4 Ajouter tomate et courgette, sel, poivre, curry (préférez du curry de madras ou du curry doux, pour résultat plus relevé forcez le piment). Étape 5 Laisser cuire 5 min, les courgettes doivent rester croquantes. Retirez du feu, ajouter coriandre hachée, laisser bien refroidir. Étape 6 Là, ça se complique... :) Pour former des ronds de pâte de 8cm de diamètre, abaisser des petites quantités de pâte pour former des ronds approximativement de la bonne grandeur, puis découper la forme exacte avec un emporte-pièce ou simplement avec un récipient du bon diamètre et un couteau. Étape 7 Répartir la farce dans chaque rond en laissant suffisamment de bords pour pouvoir refermer en pliant en 2. Bien presser les bords ensemble, petits trous à la fourchette sur le dessus. Étape 8 Cuire à four chaud (180 à 200°C) pour éviter que le dessous soit tout mou... 10 min pile, 15 min face, 10 à 15 min dernier tour en badigeonnant légèrement le dessus à l'oeuf. Étape 9 Voilà, faut avoir le temps, pour végétariens patients... Version viande hachée délicieuse aussi cela dit! a agathe_16616940",1,1
"Ingrédients 2 oignons huile olive 1 piment séché 1 tête de brocolis 3 gousses d'ail 1 cuillère(s) à soupe d'huile de sésame 1 cuillère(s) à soupe de menthe hachée Préparation Poêlez à feu vif les oignons pelés et émincés dans un peu d’huile, avec du sel et le piment séché. Ajoutez la tige de la tête de brocolis taillée en petits bâtonnets et l’ail pelé, dégermé et émincé. Au bout de 2 mn, ajoutez les fleurettes de brocolis coupées en petits bouquets. Faites sauter 2 mn, puis versez 10 cl d’eau et couvrez. Laissez cuire 2 mn, retirez le couvercle, continuez la cuisson en remuant régulièrement durant 2 mn. Ajoutez l’huile de sésame, mélangez et disposez dans un plat avec la menthe hachée.",1,1
